LOT,WF,TKIN time,SiO2 Under SiN depo THK,SiO2 Under SiN CMP THK,etch RF reflect power,ashing time,pre clean chemical flow rate,Chamber,Chuck center temp,Chuck Edge temp,Chamber pressure,Precursor,Precursor flow rate,RF Power,RF reflect Power Max,Main process time,PRE PC,PRE THK AVG,POST THK AVG,EDGE CENTER,POST PC
DAD.1,4,44930.54,151.4,140.7,9.67,300.1,999.2,B,120,100,1200,SiH4,50,300,1.85,120,82,8687,12688,204,134
DAD.1,5,44930.54,150.8,140.4,11.8,300,1001.2,A,120,100,1200,SiH4,50,300,1.44,120,127,8722,12782,252,136
DAD.1,6,44930.54,151,140.5,7.53,299.9,1001.4,B,120,100,1200,SiH4,50,300,15.32,120,80,8693,12642,177,781
DAD.1,7,44930.54,149.4,139.7,11.89,299.9,998,A,120,100,1200,SiH4,50,300,1.07,120,97,8698,12873,261,191
DAD.1,8,44930.54,151,140.5,5.64,299.9,1000.9,B,120,100,1200,SiH4,50,300,1.77,120,110,8699,12702,224,118
DAD.1,9,44930.54,150.9,140.4,13.01,299.9,1002.5,A,120,100,1200,SiH4,50,300,0.9,120,122,8687,12812,234,132
DAD.1,10,44930.54,150.6,140.3,6.44,299.7,999.1,B,120,100,1200,SiH4,50,300,0.67,120,114,8662,12652,205,87
DAD.1,11,44930.54,148.8,139.4,13.39,299.9,1000.2,A,120,100,1200,SiH4,50,300,1.78,120,85,8681,12789,254,148
DAD.1,12,44930.54,151.4,140.7,11.49,300,998.9,B,120,100,1200,SiH4,50,300,0.68,120,117,8690,12640,195,135
DAD.1,13,44930.54,148.9,139.5,8.95,299.9,998.3,A,120,100,1200,SiH4,50,300,2,120,92,8772,12893,249,217
DAD.1,14,44930.54,147.5,138.7,12.35,299.9,1000.6,B,120,100,1200,SiH4,50,300,2.72,120,110,8778,12730,211,146
DAD.1,15,44930.54,146.6,138.3,7.49,300.1,997.3,A,120,100,1200,SiH4,50,300,1.35,120,116,8687,12803,212,135
DAD.1,16,44930.54,150.6,140.3,8.21,299.8,1002.8,B,120,100,1200,SiH4,50,300,1.63,120,84,8680,12709,210,120
DAD.1,17,44930.54,152.2,141.1,9.85,300,998.3,A,120,100,1200,SiH4,50,300,0.43,120,105,8679,12702,264,177
DAD.1,18,44930.54,148.3,139.2,6.23,299.9,1001.9,B,120,100,1200,SiH4,50,300,1.08,120,101,8691,12705,215,146
DAD.1,19,44930.54,149.9,139.9,6.8,300,1005.9,A,120,100,1200,SiH4,50,300,1.54,120,115,8657,12710,220,177
DAD.1,20,44930.54,149.8,139.9,8.96,300.1,1002.4,B,120,100,1200,SiH4,50,300,1.54,120,101,8703,12740,211,130
DAD.1,21,44930.54,150,140,11.22,300.1,997.7,A,120,100,1200,SiH4,50,300,1.75,120,89,8656,12713,258,67
DAD.1,22,44930.54,154,142,12.46,299.9,1002.9,B,120,100,1200,SiH4,50,300,1.89,120,130,8711,12697,192,181
DAD.1,23,44930.54,150.3,140.2,7.36,300.1,1001.2,A,120,100,1200,SiH4,50,300,1.21,120,102,8709,12790,252,110
DAD.1,24,44930.54,152.5,141.3,8.39,300.1,999.7,B,120,100,1200,SiH4,50,300,1.28,120,28,8706,12711,203,79
DAD.1,25,44930.54,150.8,140.4,3.79,299.9,999.3,A,120,100,1200,SiH4,50,300,2.11,120,121,8697,12772,233,130
DAE.1,1,44931.2,153.9,141.9,15.55,300,1002,A,120,100,1200,SiH4,50,300,1.45,120,100,8703,12798,275,140
DAE.1,2,44931.2,150,140,9.42,300.1,999.9,B,120,100,1200,SiH4,50,300,1.35,120,77,8715,12668,209,102
DAE.1,3,44931.2,148.3,139.1,12.54,300,997.8,A,120,100,1200,SiH4,50,300,1.82,120,80,8733,12790,240,140
DAE.1,4,44931.2,148.6,139.3,11.27,300.1,997.3,B,120,100,1200,SiH4,50,300,1.6,120,82,8687,12667,202,134
DAE.1,5,44931.2,149.5,139.7,5.6,300.1,997.7,A,120,100,1200,SiH4,50,300,2.18,120,127,8722,12866,270,136
DAE.1,6,44931.2,147.6,138.8,10.89,300,997.3,B,120,100,1200,SiH4,50,300,0.87,120,80,8693,12701,221,79
DAE.1,7,44931.2,152.5,141.2,9.42,300.1,1000.8,A,120,100,1200,SiH4,50,300,1.35,120,97,8698,12787,244,191
DAE.1,8,44931.2,150.5,140.2,13.83,299.9,994.4,B,120,100,1200,SiH4,50,300,1.06,120,110,8699,12665,183,118
DAE.1,9,44931.2,154.3,142.1,13.14,300.1,996.2,A,120,100,1200,SiH4,50,300,1.07,120,122,8687,12814,245,132
DAE.1,10,44931.2,151.2,140.6,8.61,299.8,1001.1,B,120,100,1200,SiH4,50,300,14.97,120,114,8662,12683,181,864
DAE.1,11,44931.2,151.9,140.9,13.25,300.1,998.1,A,120,100,1200,SiH4,50,300,1.94,120,85,8681,12747,253,148
DAE.1,12,44931.2,147.7,138.8,12.68,299.9,999.3,B,120,100,1200,SiH4,50,300,0.79,120,117,8690,12708,194,135
DAE.1,13,44931.2,148.6,139.3,12.35,300,1002.3,A,120,100,1200,SiH4,50,300,0.51,120,92,8772,12823,252,217
DAE.1,14,44931.2,148.6,139.3,9.5,300,1002,B,120,100,1200,SiH4,50,300,1.93,120,110,8778,12834,214,146
DAE.1,15,44931.2,146.6,138.3,7.52,300,999.8,A,120,100,1200,SiH4,50,300,1.15,120,116,8687,12758,238,135
DAE.1,16,44931.2,151.7,140.9,14.36,300.1,1001.5,B,120,100,1200,SiH4,50,300,0.75,120,84,8680,12652,207,120
DAE.1,17,44931.2,148.3,139.2,11.8,299.8,999,A,120,100,1200,SiH4,50,300,2.29,120,105,8679,12747,266,177
DAE.1,18,44931.2,146.9,138.4,13.54,299.9,998.5,B,120,100,1200,SiH4,50,300,1.54,120,101,8691,12658,200,146
DAE.1,19,44931.2,151.7,140.8,4.75,299.8,1002.1,A,120,100,1200,SiH4,50,300,1.79,120,115,8657,12746,262,177
DAE.1,20,44931.2,151.8,140.9,11.99,299.9,997.9,B,120,100,1200,SiH4,50,300,1.45,120,101,8703,12681,196,130
DAE.1,21,44931.2,150.1,140,6.23,300.1,1002,A,120,100,1200,SiH4,50,300,1.16,120,89,8656,12707,254,101
DAE.1,22,44931.2,151.8,140.9,5.79,300.1,998.8,B,120,100,1200,SiH4,50,300,1.63,120,130,8711,12729,209,181
DAE.1,23,44931.2,148.5,139.3,15.66,299.8,998.5,A,120,100,1200,SiH4,50,300,1.28,120,102,8709,12740,255,110
DAE.1,24,44931.2,150.9,140.4,10.87,299.9,999.2,B,120,100,1200,SiH4,50,300,0.71,120,28,8706,12704,217,79
DAE.1,25,44931.2,149.4,139.7,10.93,300.1,996.5,A,120,100,1200,SiH4,50,300,0.94,120,121,8697,12687,233,130
DAF.1,1,44931.48,150,140,6.87,300,1000.7,A,120,100,1200,SiH4,50,300,1.4,120,100,8703,12797,257,140
DAF.1,2,44931.48,155,142.5,7.73,300.2,1000.4,B,120,100,1200,SiH4,50,300,1.77,120,77,8715,12717,197,102
DAF.1,3,44931.48,150,140,6.93,300.1,995.6,A,120,100,1200,SiH4,50,300,1.84,120,80,8733,12833,258,140
DAF.1,4,44931.48,151.4,140.7,8.76,300.1,999.5,B,120,100,1200,SiH4,50,300,2.18,120,82,8687,12713,200,134
DAF.1,5,44931.48,152.6,141.3,8.92,300,999.8,A,120,100,1200,SiH4,50,300,1.92,120,127,8722,12714,235,136
DAF.1,6,44931.48,153.3,141.6,12.84,300,1002.2,B,120,100,1200,SiH4,50,300,1.44,120,80,8693,12673,193,79
DAF.1,7,44931.48,147.3,138.7,8.61,300,998.6,A,120,100,1200,SiH4,50,300,2.16,120,97,8698,12804,256,191
DAF.1,8,44931.48,152.3,141.1,8.03,300.2,1002.1,B,120,100,1200,SiH4,50,300,0.81,120,110,8699,12684,198,118
DAF.1,9,44931.48,152.4,141.2,11.3,300.1,1002.2,A,120,100,1200,SiH4,50,300,1.08,120,122,8687,12825,268,132
DAF.1,10,44931.48,151.4,140.7,8.57,299.8,999.4,B,120,100,1200,SiH4,50,300,2.04,120,114,8662,12679,208,87
DAF.1,11,44931.48,145.7,137.9,13.27,300,1001.6,A,120,100,1200,SiH4,50,300,0.87,120,85,8681,12729,249,148
DAF.1,12,44931.48,153.6,141.8,10.29,299.9,1000.2,B,120,100,1200,SiH4,50,300,17.19,120,117,8690,12715,196,1351
DAF.1,13,44931.48,152.5,141.2,16.55,299.9,1000.8,A,120,100,1200,SiH4,50,300,1.04,120,92,8772,12836,271,217
DAF.1,14,44931.48,150.3,140.1,5.68,300.1,997.3,B,120,100,1200,SiH4,50,300,2.41,120,110,8778,12755,196,146
DAF.1,15,44931.48,151.1,140.6,16.75,300,1000.3,A,120,100,1200,SiH4,50,300,1.28,120,116,8687,12799,246,135
DAF.1,16,44931.48,149,139.5,15.63,299.9,998.3,B,120,100,1200,SiH4,50,300,1.46,120,84,8680,12721,197,120
DAF.1,17,44931.48,148.9,139.4,7.69,300.1,998.7,A,120,100,1200,SiH4,50,300,2.41,120,105,8679,12701,270,177
DAF.1,18,44931.48,148.6,139.3,17.68,299.9,1002.2,B,120,100,1200,SiH4,50,300,1.94,120,101,8691,12719,203,146
DAF.1,19,44931.48,151.2,140.6,6.28,299.9,998.2,A,120,100,1200,SiH4,50,300,1.9,120,115,8657,12668,254,177
DAF.1,20,44931.48,151,140.5,6.22,300,997.4,B,120,100,1200,SiH4,50,300,1.38,120,101,8703,12721,196,130
DAF.1,21,44931.48,145.8,137.9,7.18,300,1003.3,A,120,100,1200,SiH4,50,300,2.12,120,89,8656,12795,212,67
DAF.1,22,44931.48,151.1,140.6,2.79,300.1,999.2,B,120,100,1200,SiH4,50,300,1.04,120,130,8711,12703,202,181
DAF.1,23,44931.48,148.1,139,12.33,300,998.5,A,120,100,1200,SiH4,50,300,1.35,120,102,8709,12843,240,110
DAF.1,24,44931.48,150.7,140.4,13.46,300.2,999,B,120,100,1200,SiH4,50,300,0.98,120,28,8706,12716,211,79
DAF.1,25,44931.48,155.5,142.7,7.88,300.1,1001.7,A,120,100,1200,SiH4,50,300,0.94,120,121,8697,12699,256,130
DAG.1,1,44931.89,147.8,138.9,14.16,299.9,1001.3,A,120,100,1200,SiH4,50,300,0.87,120,100,8703,12725,229,140
DAG.1,2,44931.89,149.4,139.7,12.15,300.1,1002.1,B,120,100,1200,SiH4,50,300,1.23,120,77,8715,12686,216,102
DAG.1,3,44931.89,150.2,140.1,6.76,299.8,1001.1,A,120,100,1200,SiH4,50,300,1.59,120,80,8733,12824,268,140
DAG.1,4,44931.89,150.8,140.4,12.78,300.1,998.3,B,120,100,1200,SiH4,50,300,0.63,120,82,8687,12622,197,134
DAG.1,5,44931.89,150.2,140.1,14.14,300,995.3,A,120,100,1200,SiH4,50,300,1.25,120,127,8722,12805,260,136
DAG.1,6,44931.89,149.4,139.7,9.36,300,1003.9,B,120,100,1200,SiH4,50,300,15.41,120,80,8693,12674,199,793
DAG.1,7,44931.89,148.8,139.4,6.93,300.1,999.7,A,120,100,1200,SiH4,50,300,0.89,120,97,8698,12796,235,191
DAG.1,8,44931.89,148.5,139.3,10.46,300.1,1001.8,B,120,100,1200,SiH4,50,300,1.84,120,110,8699,12647,213,118
DAG.1,9,44931.89,148.8,139.4,11.03,300.1,997.2,A,120,100,1200,SiH4,50,300,2.22,120,122,8687,12735,253,132
DAG.1,10,44931.89,145.4,137.7,12.24,300,996.5,B,120,100,1200,SiH4,50,300,1.93,120,114,8662,12653,212,87
DAG.1,11,44931.89,148.7,139.3,9.19,300,1000,A,120,100,1200,SiH4,50,300,1.99,120,85,8681,12728,252,148
DAG.1,12,44931.89,146,138,7.37,300,1000.9,B,120,100,1200,SiH4,50,300,1.04,120,117,8690,12688,203,135
DAG.1,13,44931.89,150.4,140.2,10.3,299.9,1003.2,A,120,100,1200,SiH4,50,300,1.57,120,92,8772,12818,238,217
DAG.1,14,44931.89,151.9,140.9,6.41,300,998.5,B,120,100,1200,SiH4,50,300,1.72,120,110,8778,12763,214,146
DAG.1,15,44931.89,151.3,140.6,12.64,300.1,1000.2,A,120,100,1200,SiH4,50,300,1.27,120,116,8687,12730,257,135
DAG.1,16,44931.89,147.1,138.6,12.46,300.3,998.5,B,120,100,1200,SiH4,50,300,1.51,120,84,8680,12671,201,120
DAG.1,17,44931.89,148.6,139.3,5.58,300,1003.1,A,120,100,1200,SiH4,50,300,1.21,120,105,8679,12743,244,177
DAG.1,18,44931.89,148.8,139.4,11.64,300,1002.5,B,120,100,1200,SiH4,50,300,2.08,120,101,8691,12654,187,146
DAG.1,19,44931.89,151.2,140.6,13.7,299.8,1000.6,A,120,100,1200,SiH4,50,300,1.56,120,115,8657,12747,257,177
DAG.1,20,44931.89,149.7,139.9,12.23,300.1,1001,B,120,100,1200,SiH4,50,300,1.5,120,101,8703,12705,189,130
DAG.1,21,44931.89,147.3,138.7,6.57,300,996.5,A,120,100,1200,SiH4,50,300,1.68,120,89,8656,12738,231,67
DAG.1,22,44931.89,152.6,141.3,8.55,300,1002.7,B,120,100,1200,SiH4,50,300,1.69,120,130,8711,12758,181,181
DAG.1,23,44931.89,150.9,140.4,12.33,300,1002,A,120,100,1200,SiH4,50,300,3.12,120,102,8709,12775,246,110
DAG.1,24,44931.89,147.4,138.7,10.41,300,1001.4,B,120,100,1200,SiH4,50,300,1.22,120,28,8706,12726,195,79
DAG.1,25,44931.89,151.5,140.8,13,300.3,997.7,A,120,100,1200,SiH4,50,300,1.72,120,121,8697,12730,255,130
DAH.1,1,44933.52,149.9,140,17.02,300.2,1001.6,A,120,100,1200,SiH4,50,300,1.44,120,100,8703,12774,265,140
DAH.1,2,44933.52,150.4,140.2,12.08,300.1,1001.5,B,120,100,1200,SiH4,50,300,1.13,120,77,8715,12736,196,102
DAH.1,3,44933.52,153.1,141.6,10.76,300,999.1,A,120,100,1200,SiH4,50,300,1.64,120,80,8733,12804,255,140
DAH.1,4,44933.52,147.2,138.6,11.63,300.1,997.7,B,120,100,1200,SiH4,50,300,2.17,120,82,8687,12703,170,134
DAH.1,5,44933.52,146,138,3.82,300.1,998.6,A,120,100,1200,SiH4,50,300,1.17,120,127,8722,12947,254,136
DAH.1,6,44933.52,150.8,140.4,8.06,299.8,1000.2,B,120,100,1200,SiH4,50,300,1.09,120,80,8693,12732,191,79
DAH.1,7,44933.52,150.6,140.3,4.65,300,1001.7,A,120,100,1200,SiH4,50,300,1.78,120,97,8698,12829,249,191
DAH.1,8,44933.52,151.2,140.6,8.72,300.1,1000.7,B,120,100,1200,SiH4,50,300,0.34,120,110,8699,12645,194,118
DAH.1,9,44933.52,153.1,141.5,11.55,300,998.4,A,120,100,1200,SiH4,50,300,1.14,120,122,8687,12783,248,132
DAH.1,10,44933.52,155.8,142.9,11.87,300.2,1004.1,B,120,100,1200,SiH4,50,300,1.05,120,114,8662,12599,198,87
DAH.1,11,44933.52,150.6,140.3,10.76,300.1,999.1,A,120,100,1200,SiH4,50,300,1.92,120,85,8681,12764,257,148
DAH.1,12,44933.52,152.7,141.4,14.98,300.1,1000.2,B,120,100,1200,SiH4,50,300,1.59,120,117,8690,12672,199,135
DAH.1,13,44933.52,148.9,139.4,9.1,300.1,998.2,A,120,100,1200,SiH4,50,300,1.22,120,92,8772,12843,247,217
DAH.1,14,44933.52,150.6,140.3,10.55,299.9,1002.9,B,120,100,1200,SiH4,50,300,1.03,120,110,8778,12800,194,146
DAH.1,15,44933.52,151.9,140.9,7.34,299.9,998.6,A,120,100,1200,SiH4,50,300,0.43,120,116,8687,12720,257,135
DAH.1,16,44933.52,150.3,140.2,11.55,300,998.4,B,120,100,1200,SiH4,50,300,1.12,120,84,8680,12670,197,120
DAH.1,17,44933.52,149.6,139.8,7.09,300.1,1001.3,A,120,100,1200,SiH4,50,300,1.9,120,105,8679,12723,248,177
DAH.1,18,44933.52,147.1,138.6,10.24,299.9,1001.3,B,120,100,1200,SiH4,50,300,1.29,120,101,8691,12682,207,146
DAH.1,19,44933.52,150.4,140.2,9.29,300,1000.8,A,120,100,1200,SiH4,50,300,1.49,120,115,8657,12766,245,177
DAH.1,20,44933.52,153.9,141.9,8.8,299.9,998.1,B,120,100,1200,SiH4,50,300,1.42,120,101,8703,12706,191,130
DAH.1,21,44933.52,150.6,140.3,11.42,300.1,1002.2,A,120,100,1200,SiH4,50,300,1.05,120,89,8656,12768,240,67
DAH.1,22,44933.52,147.8,138.9,3.99,300.1,1001.5,B,120,100,1200,SiH4,50,300,1.16,120,130,8711,12727,194,181
DAH.1,23,44933.52,148.7,139.3,8.59,299.9,997.7,A,120,100,1200,SiH4,50,300,1.47,120,102,8709,12756,251,110
DAH.1,24,44933.52,148.3,139.1,9.06,300.1,1000.3,B,120,100,1200,SiH4,50,300,1.67,120,28,8706,12662,202,79
