Lot_ID,Batch_ID,Wafer_ID,PECVD_Thick,Etch_Rate,Idsat,BVdss,Vth,Defect_Count,Yield_Percentage,Pass_Fail
LOT_1004,BATCH_519,WFR_18,1475.4,458.7,665.6,12.46,0.694,8,86.34,Pass
LOT_1004,BATCH_519,WFR_19,1488.5,450.6,621.5,12.67,0.711,9,85.33,Pass
LOT_1004,BATCH_519,WFR_20,1486.3,458.8,676.0,12.15,0.762,9,88.47,Pass
LOT_1004,BATCH_520,WFR_21,1448.8,449.0,648.1,13.01,0.648,10,85.68,Pass
LOT_1004,BATCH_520,WFR_22,1510.4,450.9,666.8,12.92,0.73,10,84.13,Fail
LOT_1004,BATCH_520,WFR_23,1509.1,426.0,623.2,12.73,0.671,7,89.91,Pass
LOT_1004,BATCH_520,WFR_24,1500.2,461.0,611.2,12.45,0.693,7,88.43,Pass
LOT_1004,BATCH_520,WFR_25,1491.8,454.2,670.4,12.73,0.704,7,91.35,Pass
LOT_1005,BATCH_521,WFR_01,1450.5,462.0,659.4,12.22,0.625,9,86.16,Pass
LOT_1005,BATCH_521,WFR_02,1485.3,415.2,627.4,12.84,0.661,10,87.24,Pass
LOT_1005,BATCH_521,WFR_03,1488.0,475.1,628.3,13.16,0.768,7,87.45,Pass
LOT_1005,BATCH_521,WFR_04,1471.9,448.3,678.1,12.93,0.744,11,85.02,Pass
LOT_1005,BATCH_521,WFR_05,1494.4,463.3,620.3,12.21,0.697,9,87.79,Pass
LOT_1005,BATCH_522,WFR_06,1514.1,437.5,691.1,12.64,0.712,11,82.6,Fail
LOT_1005,BATCH_522,WFR_07,1566.0,457.4,627.5,11.98,0.685,13,84.15,Fail
LOT_1005,BATCH_522,WFR_08,1506.1,437.4,666.0,12.73,0.768,5,92.02,Pass
LOT_1005,BATCH_522,WFR_09,1509.0,442.5,641.8,12.68,0.69,12,83.75,Fail
LOT_1005,BATCH_522,WFR_10,1497.4,473.0,665.1,11.75,0.712,7,90.18,Pass
LOT_1005,BATCH_523,WFR_11,1432.8,447.7,636.4,12.04,0.757,11,82.24,Fail
LOT_1005,BATCH_523,WFR_12,1499.1,452.6,645.9,12.39,0.661,5,90.25,Pass
LOT_1005,BATCH_523,WFR_13,1502.1,460.4,651.0,12.38,0.778,7,91.28,Pass
LOT_1005,BATCH_523,WFR_14,1586.2,455.9,624.9,12.02,0.623,13,80.83,Fail
LOT_1005,BATCH_523,WFR_15,1493.3,451.8,668.5,12.66,0.781,9,86.56,Pass
LOT_1005,BATCH_524,WFR_16,1510.6,454.4,637.2,12.6,0.681,4,90.7,Pass
LOT_1005,BATCH_524,WFR_17,1498.8,478.8,644.3,12.42,0.688,5,92.44,Pass
LOT_1005,BATCH_524,WFR_18,1459.1,449.3,625.1,12.2,0.605,10,85.13,Pass
LOT_1005,BATCH_524,WFR_19,1540.0,452.4,585.9,12.92,0.677,15,79.5,Fail
LOT_1005,BATCH_524,WFR_20,1526.3,462.6,645.2,13.16,0.648,11,84.35,Fail
LOT_1005,BATCH_525,WFR_21,1527.7,463.3,710.3,12.31,0.67,15,79.72,Fail
LOT_1005,BATCH_525,WFR_22,1468.2,464.2,669.6,12.26,0.693,13,83.37,Fail
LOT_1005,BATCH_525,WFR_23,1549.1,457.7,649.5,12.7,0.748,9,85.42,Pass
LOT_1005,BATCH_525,WFR_24,1450.9,436.3,643.4,12.36,0.71,12,83.34,Fail
LOT_1005,BATCH_525,WFR_25,1520.5,469.6,650.6,12.44,0.715,10,83.21,Fail
LOT_1006,BATCH_526,WFR_01,1576.7,436.2,663.7,12.8,0.645,11,85.5,Pass
LOT_1006,BATCH_526,WFR_02,1465.3,453.6,620.5,11.74,0.656,11,83.39,Fail
LOT_1006,BATCH_526,WFR_03,1480.2,440.9,677.9,13.03,0.79,11,82.1,Fail
LOT_1006,BATCH_526,WFR_04,1503.5,449.2,667.9,12.53,0.663,6,89.48,Pass
LOT_1006,BATCH_526,WFR_05,1482.4,453.9,668.0,12.34,0.783,8,86.04,Pass
LOT_1006,BATCH_527,WFR_06,1445.7,453.9,661.0,12.46,0.688,12,81.46,Fail
LOT_1006,BATCH_527,WFR_07,1502.4,455.1,650.5,12.48,0.7,2,95.8,Pass
LOT_1006,BATCH_527,WFR_08,1462.8,469.4,666.8,11.81,0.754,9,86.2,Pass
LOT_1006,BATCH_527,WFR_09,1516.6,455.4,664.8,13.1,0.764,5,93.22,Pass
LOT_1006,BATCH_527,WFR_10,1467.8,447.1,641.1,12.52,0.694,12,82.92,Fail
LOT_1006,BATCH_528,WFR_11,1554.2,461.6,635.7,12.68,0.681,13,83.25,Fail
LOT_1006,BATCH_528,WFR_12,1472.6,464.3,652.5,12.88,0.697,5,90.28,Pass
LOT_1006,BATCH_528,WFR_13,1488.7,435.3,688.7,12.09,0.717,11,84.16,Fail
LOT_1006,BATCH_528,WFR_14,1528.5,457.2,619.0,12.69,0.745,12,83.54,Fail
LOT_1006,BATCH_528,WFR_15,1456.9,458.4,613.3,12.39,0.7,15,80.66,Fail
LOT_1006,BATCH_529,WFR_16,1508.0,446.4,654.1,12.84,0.731,8,85.41,Pass
LOT_1006,BATCH_529,WFR_17,1545.7,466.5,651.3,11.65,0.782,11,86.44,Pass
LOT_1006,BATCH_529,WFR_18,1443.7,448.2,654.3,12.46,0.719,11,86.58,Pass
LOT_1006,BATCH_529,WFR_19,1506.5,451.5,656.1,12.26,0.716,6,91.71,Pass
LOT_1006,BATCH_529,WFR_20,1509.1,447.9,644.4,12.67,0.624,6,87.94,Pass
LOT_1006,BATCH_530,WFR_21,1527.4,450.2,687.2,12.69,0.568,15,77.1,Fail
LOT_1006,BATCH_530,WFR_22,1456.7,436.8,610.0,12.22,0.719,16,77.53,Fail
LOT_1006,BATCH_530,WFR_23,1453.8,432.7,629.3,12.22,0.695,10,83.6,Fail
LOT_1006,BATCH_530,WFR_24,1518.3,469.1,647.4,12.46,0.674,7,90.53,Pass
LOT_1006,BATCH_530,WFR_25,1510.4,439.8,608.9,12.14,0.712,14,78.34,Fail
LOT_1007,BATCH_531,WFR_01,1508.8,438.1,645.6,12.84,0.697,6,92.09,Pass
LOT_1007,BATCH_531,WFR_02,1512.1,424.2,691.5,12.35,0.756,8,89.89,Pass
LOT_1007,BATCH_531,WFR_03,1476.2,442.3,650.5,11.34,0.704,5,93.44,Pass
LOT_1007,BATCH_531,WFR_04,1508.1,434.1,655.8,12.35,0.663,8,87.53,Pass
LOT_1007,BATCH_531,WFR_05,1510.3,469.7,618.5,12.08,0.75,8,86.5,Pass
LOT_1007,BATCH_532,WFR_06,1475.0,462.1,634.6,11.85,0.689,12,83.77,Fail
LOT_1007,BATCH_532,WFR_07,1565.3,441.7,640.6,12.01,0.726,8,85.51,Pass
LOT_1007,BATCH_532,WFR_08,1516.6,477.0,642.1,12.54,0.676,7,89.43,Pass
LOT_1007,BATCH_532,WFR_09,1458.3,461.8,682.0,13.03,0.668,10,87.25,Pass
LOT_1007,BATCH_532,WFR_10,1523.0,446.1,663.9,12.63,0.704,9,86.87,Pass
LOT_1007,BATCH_533,WFR_11,1465.9,420.0,622.2,12.26,0.701,11,83.4,Fail
LOT_1007,BATCH_533,WFR_12,1527.5,477.5,656.2,12.68,0.724,5,89.84,Pass
LOT_1007,BATCH_533,WFR_13,1540.6,433.3,662.5,12.32,0.687,12,83.31,Fail
LOT_1007,BATCH_533,WFR_14,1471.3,430.3,678.5,12.22,0.608,8,87.43,Pass
LOT_1007,BATCH_533,WFR_15,1533.7,462.3,689.5,12.04,0.678,12,84.26,Fail
LOT_1007,BATCH_534,WFR_16,1514.4,479.3,624.6,11.8,0.74,9,85.97,Pass
LOT_1007,BATCH_534,WFR_17,1528.8,466.6,629.7,12.34,0.685,9,84.27,Fail
LOT_1007,BATCH_534,WFR_18,1566.4,456.8,618.6,12.56,0.688,13,84.15,Fail
LOT_1007,BATCH_534,WFR_19,1491.4,457.1,644.1,12.46,0.749,6,88.37,Pass
LOT_1007,BATCH_534,WFR_20,1473.6,460.2,661.7,12.33,0.664,8,87.59,Pass
LOT_1007,BATCH_535,WFR_21,1468.9,459.1,674.7,12.12,0.623,10,86.74,Pass
LOT_1007,BATCH_535,WFR_22,1471.4,453.4,648.1,12.74,0.692,8,85.63,Pass
LOT_1007,BATCH_535,WFR_23,1497.3,451.3,642.0,11.97,0.676,8,87.98,Pass
LOT_1007,BATCH_535,WFR_24,1511.9,449.2,653.8,12.81,0.652,7,89.94,Pass
LOT_1007,BATCH_535,WFR_25,1509.7,441.0,629.1,12.1,0.691,9,88.29,Pass
LOT_1008,BATCH_536,WFR_01,1529.0,446.6,702.2,12.2,0.725,17,78.38,Fail
LOT_1008,BATCH_536,WFR_02,1500.5,429.7,609.8,11.91,0.7,10,83.84,Fail
LOT_1008,BATCH_536,WFR_03,1550.9,448.8,654.6,12.3,0.715,7,88.53,Pass
LOT_1008,BATCH_536,WFR_04,1490.7,438.1,700.6,12.89,0.791,11,82.23,Fail
LOT_1008,BATCH_536,WFR_05,1595.2,436.8,650.2,12.71,0.683,14,82.04,Fail
LOT_1008,BATCH_537,WFR_06,1521.9,452.2,645.2,12.89,0.714,5,93.39,Pass
LOT_1008,BATCH_537,WFR_07,1470.0,466.7,641.1,12.71,0.675,7,91.57,Pass
LOT_1008,BATCH_537,WFR_08,1462.5,461.0,645.5,12.06,0.658,9,86.66,Pass
LOT_1008,BATCH_537,WFR_09,1516.9,431.2,684.3,12.37,0.671,11,81.81,Fail
LOT_1008,BATCH_537,WFR_10,1492.2,438.1,594.7,12.19,0.676,13,80.93,Fail
LOT_1008,BATCH_538,WFR_11,1525.0,461.3,688.3,13.03,0.718,9,87.66,Pass
LOT_1008,BATCH_538,WFR_12,1516.6,438.2,614.4,12.02,0.817,12,81.22,Fail
LOT_1008,BATCH_538,WFR_13,1497.5,447.3,643.3,12.86,0.664,5,90.09,Pass
LOT_1008,BATCH_538,WFR_14,1470.4,456.6,639.3,12.86,0.679,7,91.52,Pass
LOT_1008,BATCH_538,WFR_15,1447.0,438.4,664.7,13.23,0.697,10,83.92,Fail
LOT_1008,BATCH_539,WFR_16,1484.4,451.3,610.0,12.34,0.72,8,88.9,Pass
LOT_1008,BATCH_539,WFR_17,1530.0,434.0,661.6,12.78,0.713,10,87.25,Pass
LOT_1008,BATCH_539,WFR_18,1507.5,442.8,700.6,13.41,0.764,15,80.87,Fail
LOT_1008,BATCH_539,WFR_19,1456.4,453.8,615.9,12.25,0.579,13,82.06,Fail
LOT_1008,BATCH_539,WFR_20,1506.1,430.9,654.7,11.89,0.581,7,89.48,Pass
LOT_1008,BATCH_540,WFR_21,1513.5,455.3,633.5,11.75,0.675,8,88.96,Pass
LOT_1008,BATCH_540,WFR_22,1469.1,449.8,660.6,12.79,0.755,9,88.34,Pass
LOT_1008,BATCH_540,WFR_23,1505.4,456.6,650.5,11.75,0.622,7,87.79,Pass
LOT_1008,BATCH_540,WFR_24,1502.0,452.7,634.0,12.35,0.55,6,87.85,Pass
LOT_1008,BATCH_540,WFR_25,1460.0,466.4,662.2,12.67,0.729,9,85.31,Pass
LOT_1009,BATCH_541,WFR_01,1512.5,451.5,695.1,12.57,0.712,11,85.32,Pass
LOT_1009,BATCH_541,WFR_02,1519.6,444.8,645.2,12.67,0.645,7,90.38,Pass
LOT_1009,BATCH_541,WFR_03,1537.9,451.5,668.0,12.59,0.651,9,88.11,Pass
LOT_1009,BATCH_541,WFR_04,1536.9,456.5,617.7,13.01,0.652,11,86.12,Pass
LOT_1009,BATCH_541,WFR_05,1451.8,450.6,626.1,12.12,0.706,14,80.44,Fail
LOT_1009,BATCH_542,WFR_06,1467.2,450.5,661.8,12.23,0.669,9,86.17,Pass
LOT_1009,BATCH_542,WFR_07,1518.0,441.6,687.1,12.19,0.725,10,84.47,Fail
LOT_1009,BATCH_542,WFR_08,1518.0,442.0,658.9,12.83,0.557,6,89.4,Pass
LOT_1009,BATCH_542,WFR_09,1518.0,433.2,642.2,12.86,0.657,11,85.34,Pass
LOT_1009,BATCH_542,WFR_10,1634.8,471.0,650.0,12.68,0.644,18,76.75,Fail
LOT_1009,BATCH_543,WFR_11,1520.0,435.1,618.7,12.97,0.687,11,83.39,Fail
LOT_1009,BATCH_543,WFR_12,1539.7,441.7,665.1,12.03,0.673,9,87.45,Pass
LOT_1009,BATCH_543,WFR_13,1533.4,441.4,672.1,13.17,0.74,13,83.34,Fail
LOT_1009,BATCH_543,WFR_14,1522.8,460.7,638.7,13.11,0.607,9,87.33,Pass
LOT_1009,BATCH_543,WFR_15,1489.0,446.5,638.2,12.79,0.702,8,89.04,Pass
LOT_1009,BATCH_544,WFR_16,1526.6,465.0,656.6,13.21,0.728,5,93.56,Pass
LOT_1009,BATCH_544,WFR_17,1473.0,441.9,639.1,11.84,0.793,10,83.85,Fail
LOT_1009,BATCH_544,WFR_18,1491.7,453.3,648.3,12.29,0.676,5,89.73,Pass
LOT_1009,BATCH_544,WFR_19,1483.0,440.0,702.5,12.21,0.716,15,80.9,Fail
LOT_1009,BATCH_544,WFR_20,1502.9,475.7,643.8,12.79,0.61,9,88.88,Pass
LOT_1009,BATCH_545,WFR_21,1581.0,435.7,641.0,12.08,0.58,14,79.51,Fail
LOT_1009,BATCH_545,WFR_22,1434.6,453.7,633.8,12.8,0.742,11,85.74,Pass
LOT_1009,BATCH_545,WFR_23,1524.0,457.6,668.6,13.05,0.7,8,88.43,Pass
LOT_1009,BATCH_545,WFR_24,1443.6,455.0,645.5,12.78,0.759,10,87.68,Pass
LOT_1009,BATCH_545,WFR_25,1483.5,447.8,633.8,12.61,0.631,6,91.67,Pass
LOT_1010,BATCH_546,WFR_01,1538.1,448.4,683.0,12.1,0.726,12,81.64,Fail
LOT_1010,BATCH_546,WFR_02,1502.2,450.5,685.5,12.16,0.793,12,81.58,Fail
LOT_1010,BATCH_546,WFR_03,1462.3,448.2,635.0,13.0,0.721,13,83.36,Fail
LOT_1010,BATCH_546,WFR_04,1475.0,461.6,603.3,12.81,0.714,13,82.72,Fail
LOT_1010,BATCH_546,WFR_05,1523.8,476.5,675.2,12.48,0.7,10,87.33,Pass
LOT_1010,BATCH_547,WFR_06,1474.4,443.3,632.9,12.33,0.621,12,85.23,Pass
LOT_1010,BATCH_547,WFR_07,1507.6,433.6,669.8,11.69,0.768,8,85.44,Pass
LOT_1010,BATCH_547,WFR_08,1501.6,448.9,600.7,12.07,0.669,10,84.72,Fail
LOT_1010,BATCH_547,WFR_09,1477.2,481.0,672.3,13.26,0.725,8,87.69,Pass
LOT_1010,BATCH_547,WFR_10,1575.0,440.4,619.7,11.99,0.622,17,75.77,Fail
LOT_1010,BATCH_548,WFR_11,1522.2,469.7,668.3,12.58,0.641,8,86.2,Pass
LOT_1010,BATCH_548,WFR_12,1429.1,470.1,650.4,12.9,0.772,10,83.97,Fail
LOT_1010,BATCH_548,WFR_13,1506.5,443.4,626.2,12.0,0.683,8,90.32,Pass
LOT_1010,BATCH_548,WFR_14,1476.8,456.8,639.8,12.57,0.773,6,91.87,Pass
LOT_1010,BATCH_548,WFR_15,1529.8,469.5,667.2,12.88,0.696,10,84.73,Fail
LOT_1010,BATCH_549,WFR_16,1472.3,445.5,652.6,12.5,0.608,7,89.72,Pass
LOT_1010,BATCH_549,WFR_17,1496.0,447.6,664.6,13.65,0.745,8,85.49,Pass
LOT_1010,BATCH_549,WFR_18,1517.7,443.0,699.4,11.83,0.671,12,82.27,Fail
LOT_1010,BATCH_549,WFR_19,1530.3,437.8,610.9,12.92,0.735,12,80.82,Fail
LOT_1010,BATCH_549,WFR_20,1458.0,442.2,690.4,12.43,0.701,10,86.99,Pass
LOT_1010,BATCH_550,WFR_21,1488.3,435.3,652.6,12.81,0.623,6,88.48,Pass
LOT_1010,BATCH_550,WFR_22,1483.4,450.4,627.5,12.68,0.708,7,89.99,Pass
LOT_1010,BATCH_550,WFR_23,1477.1,440.8,616.7,12.21,0.81,9,84.25,Fail
LOT_1010,BATCH_550,WFR_24,1561.8,452.8,645.3,12.59,0.725,11,86.01,Pass
LOT_1010,BATCH_550,WFR_25,1514.2,431.3,673.0,11.76,0.697,8,87.82,Pass
LOT_1011,BATCH_551,WFR_01,1455.9,454.0,646.8,12.74,0.754,7,87.64,Pass
LOT_1011,BATCH_551,WFR_02,1532.1,460.0,687.8,12.62,0.711,11,84.64,Fail
LOT_1011,BATCH_551,WFR_03,1574.3,426.1,613.7,12.76,0.71,13,82.06,Fail
LOT_1011,BATCH_551,WFR_04,1536.1,454.5,649.7,12.92,0.645,9,84.27,Fail
LOT_1011,BATCH_551,WFR_05,1446.8,464.7,618.7,12.65,0.712,15,79.87,Fail
LOT_1011,BATCH_552,WFR_06,1483.1,435.5,659.1,12.56,0.752,6,89.78,Pass
LOT_1011,BATCH_552,WFR_07,1544.3,470.1,672.2,12.15,0.658,11,86.53,Pass
LOT_1011,BATCH_552,WFR_08,1475.2,455.0,639.5,12.22,0.771,7,87.39,Pass
LOT_1011,BATCH_552,WFR_09,1515.5,441.5,584.9,12.97,0.695,15,78.76,Fail
LOT_1011,BATCH_552,WFR_10,1527.1,449.3,655.0,13.07,0.656,9,87.18,Pass
LOT_1011,BATCH_553,WFR_11,1467.6,456.7,660.9,12.4,0.75,6,92.72,Pass
LOT_1011,BATCH_553,WFR_12,1497.9,450.9,660.1,12.52,0.686,3,93.44,Pass
LOT_1011,BATCH_553,WFR_13,1386.6,456.5,680.9,12.14,0.738,18,78.34,Fail
LOT_1011,BATCH_553,WFR_14,1464.1,439.0,623.2,12.97,0.685,8,90.39,Pass
LOT_1011,BATCH_553,WFR_15,1491.2,452.0,667.0,12.77,0.697,10,84.92,Fail
LOT_1011,BATCH_554,WFR_16,1456.3,433.0,679.8,13.28,0.725,11,85.85,Pass
LOT_1011,BATCH_554,WFR_17,1557.1,448.7,605.5,12.15,0.715,15,81.04,Fail
LOT_1011,BATCH_554,WFR_18,1449.9,439.2,658.0,12.35,0.6,12,82.33,Fail
LOT_1011,BATCH_554,WFR_19,1484.6,441.2,637.4,12.59,0.644,8,90.13,Pass
LOT_1011,BATCH_554,WFR_20,1504.6,464.8,648.0,12.76,0.746,8,88.83,Pass
LOT_1011,BATCH_555,WFR_21,1550.4,463.1,658.7,12.41,0.693,6,92.05,Pass
